smiles,top_score
CC1(C)CCCC[C@H]1NC(=O)CC(=O)O,-4.7
CC1(C)CCCC[C@@H]1NC(=O)CCCO,-5.1
CC1(C)CCCC[C@H]1NC(=O)CCCO,-4.5
CC1(C)CCCC[C@@H]1NC(=O)CCCl,-5.0
CC1(C)CCCC[C@H]1NC(=O)CCCl,-4.6
CC1(C)CCCC[C@@H]1NC(=O)OCCO,-4.8
CC1(C)CCCC[C@H]1NC(=O)OCCO,-4.4
CC1(C)CCCC[C@@H]1NC(N)=O,-4.7
CC1(C)CCCC[C@H]1NC(N)=O,-5.5
CC1(C)CCCC[C@@H]1NC(N)=S,-4.7
CC1(C)CCCC[C@H]1NC(N)=S,-5.3
CC1(C)CCCC[C@@H]1NCC1(CC#N)CC1,-4.7
CC1(C)CCCC[C@H]1NCC1(CC#N)CC1,-5.1
CC1(C)CCCC[C@@H]1NCC1CCNCC1,-4.8
CC1(C)CCCC[C@H]1NCC1CCNCC1,-6.2
CC1(C)CCCC[C@@H]1NCCCCO,-4.7
CC1(C)CCCC[C@H]1NCCCCO,-5.6
CC1(C)CCCC[C@@H]1NCc1cc[nH]c1,-5.3
CC1(C)CCCC[C@H]1NCc1cc[nH]c1,-6.1
CC1(C)CCCC[C@@H]1NCc1ccc[nH]1,-5.7
CC1(C)CCCC[C@H]1NCc1ccc[nH]1,-6.2
CC1(C)CCCC[C@@H]1NCc1cnccn1,-5.5
CC1(C)CCCC[C@H]1NCc1cnccn1,-6.1
CC1(C)CCCC[C@@H]1NCc1cncs1,-5.2
CC1(C)CCCC[C@H]1NCc1cncs1,-5.7
CC1(C)CCCC[C@@H]1Nc1ccc(N)nc1,-5.5
CC1(C)CCCC[C@H]1Nc1ccc(N)nc1,-5.8
CC1(C)CCCC[C@@H]1Nc1cn[nH]c(=O)c1,-5.4
CC1(C)CCCC[C@H]1Nc1cn[nH]c(=O)c1,-5.7
CC1(C)CCCC[C@@H]1n1cc[nH]c1=S,-3.8
CC1(C)CCCC[C@H]1n1cc[nH]c1=S,-3.5
CC1(C)CCCCC[C@@H](C(C)(C)C)CC1,-0.4
CC1(C)CCCCC[C@H](C(C)(C)C)CC1,-3.2
CC1(C)CCCCC[C@@H](N)CCCC1,-1.7
CC1(C)CCCCC[C@H](N)CCCC1,-2.5
CC1(C)CCCCN2C=NN=C[C@@H]2CCC1,-1.4
CC1(C)CCCCN2C=NN=C[C@H]2CCC1,-2.6
CC1(C)CCCN(C(=O)[C@@H]2CCCN2)CC1,-5.8
CC1(C)CCCN(C(=O)[C@H]2CCCN2)CC1,-5.5
CC1(C)CCCN(C(=O)[C@@H]2CCNC2)CC1,-5.7
CC1(C)CCCN(C(=O)[C@H]2CCNC2)CC1,-5.1
CC1(C)CCCN([C@@H]2CCC(=O)C2)CC1,-5.6
CC1(C)CCCN([C@H]2CCC(=O)C2)CC1,-5.9
CC1(C)CCCN([C@@H]2CCCC2=O)CC1,-5.8
CC1(C)CCCN([C@H]2CCCC2=O)CC1,-5.2
CC1(C)CCCN([C@@H]2CCCCC2=O)CC1,-4.6
CC1(C)CCCN([C@H]2CCCCC2=O)CC1,-5.5
CC1(C)CCCN([C@@H]2CCCCNC2)CC1,-6.1
CC1(C)CCCN([C@H]2CCCCNC2)CC1,-5.7
CC1(C)CCCN([C@@H]2CCCNC2)CC1,-4.7
CC1(C)CCCN([C@H]2CCCNC2)CC1,-5.6
CC1(C)CCCN([C@@H]2CCCNCC2)CC1,-6.1
CC1(C)CCCN([C@H]2CCCNCC2)CC1,-5.8
CC1(C)CCCN([C@@H]2CCNC2)CC1,-4.8
CC1(C)CCCN([C@H]2CCNC2)CC1,-5.3
CC1(C)CCCN(C[C@@H](N)CCO)CC1,-5.1
CC1(C)CCCN(C[C@H](N)CCO)CC1,-5.4
CC1(C)CCCN(C[C@@H](O)CO)C1,-4.9
CC1(C)CCCN(C[C@H](O)CO)C1,-5.2
CC1(C)CCCN(C[C@@]2(C)CCCN2)CC1,-5.8
CC1(C)CCCN(C[C@]2(C)CCCN2)CC1,-5.2
CC1(C)CCCN(C[C@@]2(C)CCNC2)CC1,-5.7
CC1(C)CCCN(C[C@]2(C)CCNC2)CC1,-5.3
CC1(C)CCCN(C[C@@H]2CCCCN2)CC1,-6.2
CC1(C)CCCN(C[C@H]2CCCCN2)CC1,-5.8
CC1(C)CCCN(C[C@@H]2CCCN2)CC1,-6.0
CC1(C)CCCN(C[C@H]2CCCN2)CC1,-5.5
CC1(C)CCCN(C[C@@H]2CCNC2)CC1,-5.9
CC1(C)CCCN(C[C@H]2CCNC2)CC1,-5.6
CC1(C)CCCN1[C@@H](N)N=[N+]=[N-],-4.4
CC1(C)CCCN1[C@H](N)N=[N+]=[N-],-4.9
CC1(C)CCCN1C[C@@H](N)C1CCCCC1,-6.5
CC1(C)CCCN1C[C@H](N)C1CCCCC1,-5.5
CC1(C)CCCN[C@@H]1C(=O)N1CCC1,-5.5
CC1(C)CCCN[C@H]1C(=O)N1CCC1,-4.5
CC1(C)CCCS(=O)(=O)C[C@@H]1F,-3.9
CC1(C)CCCS(=O)(=O)C[C@H]1F,-3.1
CC1(C)CCN(C(=O)[C@@H](N)C2CC2)C1,-5.0
CC1(C)CCN(C(=O)[C@H](N)C2CC2)C1,-5.5
CC1(C)CCN(C(=O)[C@@H](O)C2CC2)C1,-5.0
CC1(C)CCN(C(=O)[C@H](O)C2CC2)C1,-5.6
CC1(C)CCN(C(=O)[C@@]2(F)CCNC2)C1,-4.7
CC1(C)CCN(C(=O)[C@]2(F)CCNC2)C1,-5.0
CC1(C)CCN(C(=O)[C@@H]2CC2(F)F)C1,-5.5
CC1(C)CCN(C(=O)[C@H]2CC2(F)F)C1,-5.1
CC1(C)CCN(C(=O)[C@@H]2CCC(=O)N2)C1,-5.7
CC1(C)CCN(C(=O)[C@H]2CCC(=O)N2)C1,-5.0
CC1(C)CCN(C(=O)[C@@H]2CCC(=O)N2)CC1,-6.7
CC1(C)CCN(C(=O)[C@H]2CCC(=O)N2)CC1,-5.9
CC1(C)CCN(C(=O)[C@@H]2CCCO2)C1,-5.3
CC1(C)CCN(C(=O)[C@H]2CCCO2)C1,-5.0
CC1(C)CCN(C(=O)[C@@H]2CCNC2)CC1,-6.3
CC1(C)CCN(C(=O)[C@H]2CCNC2)CC1,-5.7
CC1(C)CCN(C(=O)N[C@@H]2CCOC2)C1,-5.2
CC1(C)CCN(C(=O)N[C@H]2CCOC2)C1,-4.4
CC1(C)CCN(C(=O)[O-])[C@@]1(C)C(=O)[O-],-2.8
CC1(C)CCN(C(=O)[O-])[C@]1(C)C(=O)[O-],-3.3
CC1(C)CCN([C@@](C)(N=[N+]=[N-])C2CC2)CC1,-3.2
CC1(C)CCN([C@](C)(N=[N+]=[N-])C2CC2)CC1,-4.9
CC1(C)CCN([C@@H]2CCC(=O)C2)CC1,-5.2
CC1(C)CCN([C@H]2CCC(=O)C2)CC1,-6.3
CC1(C)CCN([C@@H]2CCCCN2)C(=O)C1,-5.9
CC1(C)CCN([C@H]2CCCCN2)C(=O)C1,-5.5
CC1(C)CCN([C@@H]2CCCCN2)C1=O,-6.2
CC1(C)CCN([C@H]2CCCCN2)C1=O,-4.9
CC1(C)CCN(Cc2cccnc2)C[C@@H]1N,-5.0
CC1(C)CCN(Cc2cccnc2)C[C@H]1N,-5.6
CC1(C)CCN(Cc2cccnc2)C[C@@H]1O,-5.2
CC1(C)CCN(Cc2cccnc2)C[C@H]1O,-5.6
CC1(C)CCN(Cc2cccs2)C[C@@H]1N,-4.7
CC1(C)CCN(Cc2cccs2)C[C@H]1N,-5.1
CC1(C)CCN(Cc2ccncc2)C[C@@H]1N,-4.9
CC1(C)CCN(Cc2ccncc2)C[C@H]1N,-5.4
CC1(C)CCN(Cc2ccncc2)C[C@@H]1O,-5.1
CC1(C)CCN(Cc2ccncc2)C[C@H]1O,-5.5
CC1(C)CCN(N=[N+]=[N-])[C@@H](N2CCCC2)C1,-4.9
CC1(C)CCN(N=[N+]=[N-])[C@H](N2CCCC2)C1,-3.6
CC1(C)CCN[C@@H](C(=O)O)C1,-4.7
CC1(C)CCN[C@H](C(=O)O)C1,-5.2
CC1(C)CCN[C@@H]1CO,-4.2
CC1(C)CCN[C@H]1CO,-4.6
CC1(C)CCNC[C@@H]1C(=O)O,-4.3
CC1(C)CCNC[C@H]1C(=O)O,-4.7
CC1(C)CCNC[C@@H]1Cc1ccccc1,-6.8
CC1(C)CCNC[C@H]1Cc1ccccc1,-6.4
CC1(C)CCNC[C@@H]1F,-4.2
CC1(C)CCNC[C@H]1F,-4.5
CC1(C)CCOC(=O)[C@@H]1N,-3.8
CC1(C)CCOC(=O)[C@H]1N,-4.3
CC1(C)CCO[C@@H](/C=C/c2ccccc2)C1,-6.1
CC1(C)CCO[C@H](/C=C/c2ccccc2)C1,-6.6
CC1(C)CCO[C@@H](c2ccccc2)O1,-5.0
CC1(C)CCO[C@H](c2ccccc2)O1,-6.0
CC1(C)CCO[C@@H]1C=C(C#N)C#N,-4.4
CC1(C)CCO[C@H]1C=C(C#N)C#N,-3.6
CC1(C)CCO[C@@H]1CN,-4.1
CC1(C)CCO[C@H]1CN,-4.6
CC1(C)CCO[C@@H]1CS(=O)(=O)Cl,-4.0
CC1(C)CCO[C@H]1CS(=O)(=O)Cl,-3.5
CC1(C)CCOS(=O)(=O)[C@@H]1CO,-3.8
CC1(C)CCOS(=O)(=O)[C@H]1CO,-3.3
CC1(C)CCS(=O)(=O)C[C@@H]1F,-3.6
CC1(C)CCS(=O)(=O)C[C@H]1F,-4.0
CC1(C)CC[S@@](=O)/C1=C\n1ccnc1,-4.4
CC1(C)CC[S@](=O)/C1=C\n1ccnc1,-5.5
CC1(C)CC[S@@](=O)c2ccc(C=O)cc21,-3.6
CC1(C)CC[S@](=O)c2ccc(C=O)cc21,-3.3
CC1(C)CCS[C@@H](Cl)C1,-3.7
CC1(C)CCS[C@H](Cl)C1,-4.1
CC1(C)CCSC[C@@H]1N,-3.4
CC1(C)CCSC[C@H]1N,-4.0
CC1(C)CCc2[nH]cnc2[C@@H]1CN,-5.1
CC1(C)CCc2[nH]cnc2[C@H]1CN,-4.6
CC1(C)CCc2[nH]ncc2[C@@H]1N,-5.9
CC1(C)CCc2[nH]ncc2[C@H]1N,-5.6
CC1(C)CCc2[nH]ncc2[C@@H]1NC1CC1,-5.3
CC1(C)CCc2[nH]ncc2[C@H]1NC1CC1,-5.6
CC1(C)CCc2c(c[nH]c2Cl)[C@@H]1CN,-4.2
CC1(C)CCc2c(c[nH]c2Cl)[C@H]1CN,-4.8
CC1(C)CCc2c[nH]cc2[C@@]1(N)C(=O)O,-3.8
CC1(C)CCc2c[nH]cc2[C@]1(N)C(=O)O,-2.7
CC1(C)CCc2c[nH]cc2[C@@]1(O)C(=O)O,-3.9
CC1(C)CCc2c[nH]cc2[C@]1(O)C(=O)O,-3.3
CC1(C)CCc2c[nH]cc2[C@@H]1CC(=O)O,-4.6
CC1(C)CCc2c[nH]cc2[C@H]1CC(=O)O,-4.9
CC1(C)CCc2c[nH]cc2[C@@H]1N,-5.1
CC1(C)CCc2c[nH]cc2[C@H]1N,-4.8
CC1(C)CCc2cc(Cl)oc2[C@@H]1N,-5.2
CC1(C)CCc2cc(Cl)oc2[C@H]1N,-6.3
CC1(C)CCc2ccccc2[C@@]1(C)O,-5.6
CC1(C)CCc2ccccc2[C@]1(C)O,-5.3
CC1(C)CCc2cccnc2[C@@H]1C(=O)O,-4.7
CC1(C)CCc2cccnc2[C@H]1C(=O)O,-4.1
CC1(C)CCc2ccncc2[C@@]1(N)CO,-4.7
CC1(C)CCc2ccncc2[C@]1(N)CO,-3.8
CC1(C)CCc2ccncc2[C@@H]1C(=O)O,-4.7
CC1(C)CCc2ccncc2[C@H]1C(=O)O,-4.0
CC1(C)CCc2ccoc2[C@@]1(N)C(=O)O,-3.9
CC1(C)CCc2ccoc2[C@]1(N)C(=O)O,-3.2
CC1(C)CCc2ccoc2[C@@]12CCNC2,-3.8
CC1(C)CCc2ccoc2[C@]12CCNC2,-4.2
CC1(C)CCc2ccsc2[C@@]1(N)CO,-4.3
CC1(C)CCc2ccsc2[C@]1(N)CO,-3.3
CC1(C)CCc2ccsc2[C@@H]1C(=O)O,-4.4
CC1(C)CCc2ccsc2[C@H]1C(=O)O,-3.3
CC1(C)CCc2cn[nH]c2[C@@H]1CC(=O)O,-6.1
CC1(C)CCc2cn[nH]c2[C@H]1CC(=O)O,-5.2
CC1(C)CCc2cn[nH]c2[C@@H]1N,-6.6
CC1(C)CCc2cn[nH]c2[C@H]1N,-6.2
CC1(C)CCc2cnccc2[C@@H]1C(=O)O,-4.6
CC1(C)CCc2cnccc2[C@H]1C(=O)O,-4.1
CC1(C)CCc2cnccc2[C@@H]1CCN,-4.6
CC1(C)CCc2cnccc2[C@H]1CCN,-4.1
CC1(C)CCc2cnoc2[C@@H]1NC1CC1,-5.4
CC1(C)CCc2cnoc2[C@H]1NC1CC1,-5.8
CC1(C)CCc2cocc2[C@@H]1C(=O)O,-4.6
CC1(C)CCc2cocc2[C@H]1C(=O)O,-5.1
CC1(C)CCc2cocc2[C@@H]1CCN,-5.2
CC1(C)CCc2cocc2[C@H]1CCN,-5.8
CC1(C)CCc2n[nH]nc2[C@@H]1C(=O)O,-4.5
CC1(C)CCc2n[nH]nc2[C@H]1C(=O)O,-4.1
CC1(C)CCc2n[nH]nc2[C@@H]1N,-4.9
CC1(C)CCc2n[nH]nc2[C@H]1N,-4.6
CC1(C)CCc2ncccc2[C@@]1(O)CN,-4.7
CC1(C)CCc2ncccc2[C@]1(O)CN,-4.0
CC1(C)CCc2ncccc2[C@@H]1C(=O)O,-4.7
CC1(C)CCc2ncccc2[C@H]1C(=O)O,-4.2
CC1(C)CCc2ncccc2[C@@H]1CCN,-4.6
CC1(C)CCc2ncccc2[C@H]1CCN,-4.0
CC1(C)CCc2ncn(C3CC3)c2[C@@H]1N,-4.3
CC1(C)CCc2ncn(C3CC3)c2[C@H]1N,-4.9
CC1(C)CCc2nnn(C3CC3)c2[C@@H]1N,-6.2
CC1(C)CCc2nnn(C3CC3)c2[C@H]1N,-5.4
CC1(C)CCc2onc(C3CC3)c2[C@@H]1N,-6.5
CC1(C)CCc2onc(C3CC3)c2[C@H]1N,-5.7
CC1(C)CCc2oncc2[C@@H]1CCN,-5.4
CC1(C)CCc2oncc2[C@H]1CCN,-5.7
CC1(C)CN(C(=O)[C@@H]2CCNC2)CCO1,-4.3
CC1(C)CN(C(=O)[C@H]2CCNC2)CCO1,-4.9
CC1(C)CN(C(C)(C)CN)CC[C@@H]1O,-3.4
CC1(C)CN(C(C)(C)CN)CC[C@H]1O,-3.9
CC1(C)CN([C@@]2(C)CCCOC2)CCN1,-3.4
CC1(C)CN([C@]2(C)CCCOC2)CCN1,-3.9
CC1(C)CN(C2=CC(=O)CC2)CC[C@@H]1O,-5.4
CC1(C)CN(C2=CC(=O)CC2)CC[C@H]1O,-5.0
CC1(C)CN(C2CCCC2)[C@@H](C2CC2)CN1,-5.6
CC1(C)CN(C2CCCC2)[C@H](C2CC2)CN1,-4.0
CC1(C)CN(C2CCCCC2)C(=O)[C@@H]1O,-5.7
CC1(C)CN(C2CCCCC2)C(=O)[C@H]1O,-6.3
CC1(C)CN(C[C@@H](O)CO)CCS1,-4.1
CC1(C)CN(C[C@H](O)CO)CCS1,-4.6
CC1(C)CN(CC2CCCCC2)CC[C@@H]1N,-5.0
CC1(C)CN(CC2CCCCC2)CC[C@H]1N,-5.6
CC1(C)CN(C[C@@H]2CCCO2)C(=S)N1,-5.1
CC1(C)CN(C[C@H]2CCCO2)C(=S)N1,-4.4
CC1(C)CN(C[C@@H]2COCCN2)C1,-5.1
CC1(C)CN(C[C@H]2COCCN2)C1,-4.8
CC1(C)CN(Cc2ccccn2)CC[C@@H]1N,-5.5
CC1(C)CN(Cc2ccccn2)CC[C@H]1N,-5.8
CC1(C)CN(Cc2ccco2)CC[C@@H]1N,-4.9
CC1(C)CN(Cc2ccco2)CC[C@H]1N,-5.2
CC1(C)CN(N)[C@@H](C(=O)O)CS1,-4.5
CC1(C)CN(N)[C@H](C(=O)O)CS1,-3.9
CC1(C)CN(N=[N+]=[N-])CC[C@@H]1NC1CC1,-4.7
CC1(C)CN(N=[N+]=[N-])CC[C@H]1NC1CC1,-5.4
CC1(C)CN2CCC[C@@]2(CN=[N+]=[N-])C1,-5.2
CC1(C)CN2CCC[C@]2(CN=[N+]=[N-])C1,-4.4
CC1(C)CN2CCC[C@@H]2C1(C)C,-4.2
CC1(C)CN2CCC[C@H]2C1(C)C,-3.7
CC1(C)CNC(=O)N[C@@H]1NC(N)=O,-4.7
CC1(C)CNC(=O)N[C@H]1NC(N)=O,-5.6
CC1(C)CN[C@@H](CO)CO1,-4.7
CC1(C)CN[C@H](CO)CO1,-4.2
CC1(C)CN[C@@H](N=[N+]=[N-])CO1,-4.8
CC1(C)CN[C@H](N=[N+]=[N-])CO1,-4.4
CC1(C)CN[C@@H](c2ccc(F)cc2)O1,-6.1
CC1(C)CN[C@H](c2ccc(F)cc2)O1,-6.6
CC1(C)CN[C@@H](c2ccc3c(c2)OCO3)O1,-6.6
CC1(C)CN[C@H](c2ccc3c(c2)OCO3)O1,-6.9
CC1(C)CN[C@@H](c2cccc(Cl)c2)O1,-6.1
CC1(C)CN[C@H](c2cccc(Cl)c2)O1,-6.6
CC1(C)CN[C@@H](c2ccccc2)O1,-5.9
CC1(C)CN[C@H](c2ccccc2)O1,-6.3
CC1(C)CN[C@@H](c2ccccc2Cl)O1,-5.1
CC1(C)CN[C@H](c2ccccc2Cl)O1,-6.7
CC1(C)CN[C@@H](c2ccccc2F)COC1,-5.1
CC1(C)CN[C@H](c2ccccc2F)COC1,-6.4
CC1(C)CN[C@@H](c2ccccc2F)O1,-5.8
CC1(C)CN[C@H](c2ccccc2F)O1,-6.5
CC1(C)CN[C@@H](c2ccccn2)O1,-5.5
CC1(C)CN[C@H](c2ccccn2)O1,-5.9
CC1(C)CN[C@@H](c2cccnc2)O1,-5.5
CC1(C)CN[C@H](c2cccnc2)O1,-5.9
CC1(C)CN[C@@H](c2ccncc2)O1,-5.4
CC1(C)CN[C@H](c2ccncc2)O1,-5.8
CC1(C)CN[C@@H](c2ncc[nH]2)C1,-5.3
CC1(C)CN[C@H](c2ncc[nH]2)C1,-5.6
CC1(C)CNC[C@@H](Br)C1=O,-3.4
CC1(C)CNC[C@H](Br)C1=O,-4.8
CC1(C)CNC[C@@H](C#N)O1,-3.9
CC1(C)CNC[C@H](C#N)O1,-4.6
CC1(C)CNC[C@@](C)(c2ccccc2)C1,-3.3
CC1(C)CNC[C@](C)(c2ccccc2)C1,-5.7
CC1(C)CNC[C@@H](c2cccc(Cl)c2)C1,-4.4
CC1(C)CNC[C@H](c2cccc(Cl)c2)C1,-6.7
CC1(C)CNC[C@@H](c2ccccc2F)C1,-5.1
CC1(C)CNC[C@H](c2ccccc2F)C1,-6.3
CC1(C)CNC[C@@H]1c1ccccc1F,-5.8
CC1(C)CNC[C@H]1c1ccccc1F,-5.0
CC1(C)CNC[C@@]2(CCCC2(C)C)O1,-2.9
CC1(C)CNC[C@]2(CCCC2(C)C)O1,-2.5
CC1(C)CNCC[C@@H]1C(F)(F)F,-4.2
CC1(C)CNCC[C@H]1C(F)(F)F,-4.7
CC1(C)CNCC[C@@H]1C1CCOCC1,-5.3
CC1(C)CNCC[C@H]1C1CCOCC1,-4.4
CC1(C)CNCC[C@@H]1OC1CCCC1,-5.3
CC1(C)CNCC[C@H]1OC1CCCC1,-5.7
CC1(C)CNCC[C@@H]1Oc1ccc(N)cc1,-5.3
CC1(C)CNCC[C@H]1Oc1ccc(N)cc1,-6.4
CC1(C)COC(=O)[C@@](C)(c2ccccc2)N1,-4.1
CC1(C)COC(=O)[C@](C)(c2ccccc2)N1,-4.9
CC1(C)COC(=O)[C@@H](O)C1,-4.7
CC1(C)COC(=O)[C@H](O)C1,-5.0
CC1(C)COC(=O)[C@@H]1C1CC1,-4.3
CC1(C)COC(=O)[C@H]1C1CC1,-4.8
CC1(C)COC(=O)[C@@H]1NCc1ccccc1,-6.1
CC1(C)COC(=O)[C@H]1NCc1ccccc1,-6.5
CC1(C)COC(=O)[C@@H]1O/C([O-])=C/[N+]#N,-4.5
CC1(C)COC(=O)[C@H]1O/C([O-])=C/[N+]#N,-5.2
CC1(C)COC(=O)C[C@@H]1N,-4.0
CC1(C)COC(=O)C[C@H]1N,-4.3
CC1(C)COC([C@@H](N)Cc2ccccc2)=N1,-6.2
CC1(C)COC([C@H](N)Cc2ccccc2)=N1,-6.7
CC1(C)CO[C@@](C)(C(=O)n2ccnc2)N1,-4.5
CC1(C)CO[C@](C)(C(=O)n2ccnc2)N1,-4.8
CC1(C)CO[C@@](C)(C[N+](=O)[O-])C1,-3.9
CC1(C)CO[C@](C)(C[N+](=O)[O-])C1,-4.3
CC1(C)COC([C@@]2(C)CO2)OC1,-4.3
CC1(C)COC([C@]2(C)CO2)OC1,-5.1
CC1(C)COC([C@@]2(C)COC(=O)C2)=N1,-4.9
CC1(C)COC([C@]2(C)COC(=O)C2)=N1,-4.3
CC1(C)CO[C@@H](CBr)C1,-4.2
CC1(C)CO[C@H](CBr)C1,-4.5
CC1(C)CO[C@@H](CO)C1,-4.2
CC1(C)CO[C@H](CO)C1,-4.5
CC1(C)CO[C@@H](N=[N+]=[N-])OC1(C)C,-4.0
CC1(C)CO[C@H](N=[N+]=[N-])OC1(C)C,-4.3
CC1(C)CO[C@@H](c2ccncc2)NC1=O,-6.2
CC1(C)CO[C@H](c2ccncc2)NC1=O,-5.3
CC1(C)CO[C@@H]1CCCC(F)(F)F,-5.3
CC1(C)CO[C@H]1CCCC(F)(F)F,-5.6
CC1(C)COC2(CC[C@@](C)(C=O)C2)OC1,-4.2
CC1(C)COC2(CC[C@](C)(C=O)C2)OC1,-3.9
CC1(C)COC2(CCCC[C@@H]2Cl)OC1,-3.3
CC1(C)COC2(CCCC[C@H]2Cl)OC1,-4.0
CC1(C)COC2=C1C[C@@H](C(=O)O)C=C2,-5.8
CC1(C)COC2=C1C[C@H](C(=O)O)C=C2,-5.3
CC1(C)COC2=CNC[C@@]2(C)OC1,-4.5
CC1(C)COC2=CNC[C@]2(C)OC1,-4.9
CC1(C)COC[C@@](C)(c2ccccc2)N1,-4.2
CC1(C)COC[C@](C)(c2ccccc2)N1,-5.2
CC1(C)COC[C@@H](C2CCCCC2)N1,-5.2
CC1(C)COC[C@H](C2CCCCC2)N1,-4.4
CC1(C)COC[C@@H](COc2ccccc2)N1,-5.9
CC1(C)COC[C@H](COc2ccccc2)N1,-6.3
CC1(C)COC[C@@H](c2cccc(F)c2)N1,-4.8
CC1(C)COC[C@H](c2cccc(F)c2)N1,-5.9
CC1(C)COC[C@@H]1C(=O)O,-4.1
CC1(C)COC[C@H]1C(=O)O,-3.8
CC1(C)COC[C@@H]1N,-3.8
CC1(C)COC[C@H]1N,-4.3
CC1(C)COCN1C(=O)[C@@H]1CCCO1,-4.3
CC1(C)COCN1C(=O)[C@H]1CCCO1,-4.6
CC1(C)CON([C@@H](O)c2ccccc2)C1=O,-6.9
CC1(C)CON([C@H](O)c2ccccc2)C1=O,-6.5
CC1(C)COO[C@@H](N=[N+]=[N-])C1,-4.4
CC1(C)COO[C@H](N=[N+]=[N-])C1,-4.9
CC1(C)CS(=O)(=O)CC[C@@H]1N,-3.2
CC1(C)CS(=O)(=O)CC[C@H]1N,-4.2
CC1(C)CS[C@@H](C2CCCCC2)N1,-5.4
CC1(C)CS[C@H](C2CCCCC2)N1,-5.1
CC1(C)CS[C@@]1(C)N=[N+]=[N-],-3.2
CC1(C)CS[C@]1(C)N=[N+]=[N-],-3.7
CC1(C)CSC[C@@H](NC2COC2)C1,-4.1
CC1(C)CSC[C@H](NC2COC2)C1,-4.8
CC1(C)CSC[C@@](O)(C2=CCCO2)C1,-3.9
CC1(C)CSC[C@](O)(C2=CCCO2)C1,-4.9
CC1(C)CSC[C@@H]1N,-3.8
CC1(C)CSC[C@H]1N,-4.2
CC1(C)CSC[S@@](=O)C1,-3.1
CC1(C)CSC[S@](=O)C1,-3.4
CC1(C)C[NH2+]C[C@@H](CO)N1,-3.9
CC1(C)C[NH2+]C[C@H](CO)N1,-4.9
CC1(C)Cc2[nH]c(=O)oc2[C@@H](C(=O)O)C1,-6.0
CC1(C)Cc2[nH]c(=O)oc2[C@H](C(=O)O)C1,-6.4
CC1(C)Cc2cc([C@@H](O)C(=O)O)ccc2O1,-6.7
CC1(C)Cc2cc([C@H](O)C(=O)O)ccc2O1,-6.3
CC1(C)Cc2cccnc2[C@@H]1N,-5.5
CC1(C)Cc2cccnc2[C@H]1N,-6.1
CC1(C)Cc2ccsc2[C@@H]1C(=O)O,-4.6
CC1(C)Cc2ccsc2[C@H]1C(=O)O,-5.5
CC1(C)Cc2cn[nH]c2[C@@H](CC(=O)O)C1,-5.7
CC1(C)Cc2cn[nH]c2[C@H](CC(=O)O)C1,-6.0
CC1(C)Cc2cn[nH]c2[C@@H](CCN)C1,-5.6
CC1(C)Cc2cn[nH]c2[C@H](CCN)C1,-6.1
CC1(C)Cc2cnc(=S)[nH]c2[C@@H](N)C1,-5.4
CC1(C)Cc2cnc(=S)[nH]c2[C@H](N)C1,-6.3
CC1(C)Cc2conc2[C@@H](N)C1,-5.6
CC1(C)Cc2conc2[C@H](N)C1,-5.3
CC1(C)Cc2ncoc2[C@@H](N)C1,-5.0
CC1(C)Cc2ncoc2[C@H](N)C1,-5.8
CC1(C)Cc2oc(=O)[nH]c2[C@@H](C(=O)O)C1,-5.8
CC1(C)Cc2oc(=O)[nH]c2[C@H](C(=O)O)C1,-6.4
CC1(C)Cc2oc(=O)[nH]c2[C@@H](N)C1,-5.9
CC1(C)Cc2oc(=O)[nH]c2[C@H](N)C1,-6.4
CC1(C)Cc2scnc2[C@@H](CCN)C1,-4.6
CC1(C)Cc2scnc2[C@H](CCN)C1,-5.4
CC1(C)Cc2scnc2[C@@H](N)C1,-4.6
CC1(C)Cc2scnc2[C@H](N)C1,-5.7
CC1(C)N=C(N=[N+]=[N-])O[C@@H]1C#N,-4.8
CC1(C)N=C(N=[N+]=[N-])O[C@H]1C#N,-5.1
CC1(C)NC(=O)[C@@](C)(c2ccccc2)N1,-4.9
CC1(C)NC(=O)[C@](C)(c2ccccc2)N1,-4.3
CC1(C)NC(=O)CC[C@@H]1N,-3.6
CC1(C)NC(=O)CC[C@H]1N,-4.4
CC1(C)N[C@@H](CC(=O)O)C(C)(C)S1,-3.3
CC1(C)N[C@H](CC(=O)O)C(C)(C)S1,-2.7
CC1(C)N[C@@H](CN)CS1,-4.5
CC1(C)N[C@H](CN)CS1,-4.2
CC1(C)N[C@@H](O)N(O)C1(C)C,-3.9
CC1(C)N[C@H](O)N(O)C1(C)C,-3.6
CC1(C)NC[C@@H](C2=CCCC=C2)O1,-5.0
CC1(C)NC[C@H](C2=CCCC=C2)O1,-6.6
CC1(C)NC[C@@H](c2ccc(Cl)cc2)O1,-5.6
CC1(C)NC[C@H](c2ccc(Cl)cc2)O1,-7.0
CC1(C)NC[C@@H](c2ccc(F)cc2)O1,-5.5
CC1(C)NC[C@H](c2ccc(F)cc2)O1,-7.1
CC1(C)NC[C@@H](c2ccc3c(c2)OCO3)O1,-6.0
CC1(C)NC[C@H](c2ccc3c(c2)OCO3)O1,-7.5
CC1(C)NC[C@@H](c2cccc(Cl)c2)O1,-5.5
CC1(C)NC[C@H](c2cccc(Cl)c2)O1,-7.2
CC1(C)NC[C@@H](c2cccc(F)c2)O1,-5.5
CC1(C)NC[C@H](c2cccc(F)c2)O1,-7.1
